4	0000127b-46c0-5bad-9b4f-a301cfd68ae8		1484616				species	1484616	|Eukaryota|Opisthokonta|Fungi|Dikarya|Basidiomycota|Agaricomycotina|Agaricomycetes||Russulales|Russulaceae|Russula|Russula	131567|2759|33154|4751|451864|5204|5302|155619|355688|452342|5401|5402|1484616	|superkingdom||kingdom|subkingdom|phylum||class||order|family|genus|species
170	0000127e-4538-54f5-9758-920244a17604		2996220		2996220			2996220	Plantae|Tracheophyta|Magnoliopsida|Polygalales|Malpighiaceae|Alcoceratothrix|Alcoceratothrix stipulacea		kingdom|phylum|class|order|family|genus|
167	0000127e-4538-54f5-9758-920244a17604	http://ipni.org/urn:lsid:ipni.org:names:8249-2:1.3	8249-2	urn:lsid:ipni.org:names:8249-2:1.3	8249-2		species	8249-2	Malpighiaceae|Alcoceratothrix stipulacea		
168	0000129b-0f64-524e-abe4-a585c2cf38cf	http://www.organismnames.com/details.htm?lsid=4311420	129637389				Infrasubspecific name	129637389			
157	000012c6-8dea-51aa-b525-e64061c916fc	http://species.be/en/59862	59862			2	species	59862	Animalia|Rotifera|Eurotatoria|Ploima|Gastropodidae|Lecane|Lecane gwileti	59183|59575|59576|59723|59843|59850|59862	Kingdom|phylum|class|order|family|genus|species
168	000012f9-5173-54c3-8712-9cfcf109b77d	http://www.organismnames.com/details.htm?lsid=661594	126192236				Species	126192236			
162	00001384-3e9e-5687-8333-2ec5940647f2	http://nsdb.bishopmuseum.org/urn:lsid:bishopmuseum.org:tnu:69B78927-BEE8-4D7E-BCD5-19C6E64D5364	105627427				Species	105627427			
11	00001491-58f8-5c15-b8bb-dfffce22e335		3269943				variety	3269943	Fungi|Ascomycota|Dothideomycetes|Trypetheliales|Trypetheliaceae|Mycomicrothelia|Mycomicrothelia miculiformis|Microthelia miculiformis detincta	5|95|183|7186734|4845|7089999|3529563|3269943	kingdom|phylum|class|order|family|genus|species|variety
169	0000149d-5c00-51f2-bef1-7507e051d6bc	http://www.ubio.org/browser/details.php?namebankID=7363241	100260929	urn:lsid:ubio.org:namebank:7363241	urn:lsid:ubio.org:namebank:7363241			100260929	|Gnomidolon hamatum		kingdom|
12	0000149d-5c00-51f2-bef1-7507e051d6bc	http://eol.org/pages/354328/names/synonyms	s_8705483		354328		species	33432143			
