glaucescens	97d64e69-fe82-50e1-9051-ca2d5828e394
sieboldii	3fa341c7-8fb8-570d-9381-dacca54da7d2
humilis	de749b75-8e55-5993-9d0b-534217a1e31a
meleagroides	18e18ffb-6283-5847-9402-9b2ec57d1386
caudatus	3f7195d0-7a2c-5c03-9832-c87df32e9c56
aciculare	bd1b9a3d-2d80-52a0-a124-68020578df7b
thellungianus	1ab2e2be-b204-59e3-9f89-502cb57950e9
ceuthosporoides	76817b13-cc67-58ea-92a7-3aa4522e2f59
militare	bbe5485c-bf6b-5b2b-a454-527f61c94c6b
tricholoma	052fd91e-2ca7-54b7-a048-ba916c279cd6
hamiltoni	ec748aea-e13d-5fa6-85dd-8fbd1187b009
ventralis	47661d5b-75ae-52b2-b0b3-02038a35eb66
gymnocephalus	7ccc1ef7-2144-55d6-b0e1-26f65d70e5eb
heterolepis	7d4dfc77-e062-5b3b-82cd-7577c4dd80b4
bicapsularis	5cae425f-6608-54f8-854b-44b93f0a3390
viridis	0856d4da-3298-5158-8936-f05fbae9f028
crocoptila	83947ee7-2f7d-5e24-8267-ad4a74171cf4
clercii	bdc540a2-0b0d-52be-9146-48d72848802b
ethion	9502f2af-f7a6-5603-8fb8-7d01a923f704
pecki	99e5dd1c-ff53-5819-84fb-9362e8aeae90
lytata	002571cc-7756-5e5f-997d-dd70f66cf401
dimorphophyllus	cf1d41cb-ee5b-5323-bc3a-48ce7cf00d21
trispinosus	db780c7d-b1d4-5cfe-b9f7-46615f494482
helvolus	2ce24b70-5a12-5a36-91ec-8145f984a4c6
leporina	a2e9ef0a-699b-5bfa-bfa6-0fab54338b31
xalapensis	fd412519-4151-5fb6-8322-0e0d00f96146
melanoxanthum	c31a1eef-a335-5a52-8ee4-36eb9f4afe43
illyrica	2f31afb5-adc7-5991-8893-ab23adf7980f
trilineatus	ae0a6304-7cf7-51e2-8dd6-a18d2d341ae5
verticillatus	424ab4b7-1736-5e88-8df2-3909fb194000
ocellatus	fac188e4-89a9-5570-9e0c-98392ac86e22
punctata	ee7addc2-b474-551c-9d0e-5a12cb13fb88
concamerata	73062e60-6109-5035-837a-1e8b01c2c900
berberifolia	f496fcb5-66cd-5858-860a-e0b441a34b32
ultralucens	8dca1754-3889-5071-80f0-f75e6696da9e
obtectum	ac3fc88b-1c0e-51c7-960d-8d6f604466bb
personatus	f036bda4-7df1-5f81-8b1e-debbbbf55d4d
nigra	f55a6b71-744f-5d32-98d9-4621d27e9836
confertissima	d8436e9d-6d0d-5501-bbf5-4494e3e46277
violascens	8219c1cd-07a8-5a2a-91a0-4336d4e7883f
cerebrinum	58bcc3d1-5f8d-5055-9f64-5a4a8eb58fa7
gracilipes	ac47abe9-ecf2-59f5-ba90-4c8cc7baff4f
longispora	35c1a8fa-6603-57ef-821a-988fcf6031fc
fulveolus	aabb31b7-e0e2-50f1-a5c1-2639d0de52eb
vulgare	40da16bf-bd5d-55b2-bb96-9103a7e0e753
porosum	bf130ce8-64f1-542a-b142-d4ee51547295
atricha	97e5cf12-ae6d-553e-b7a6-28afb443f459
flavidum	bf049288-d3ce-5d95-b7b8-ebf8f687904c
tibetensis	08164f80-a0a5-5694-9d2d-0c210ce8a8da
fuscobrunnea	24677ab9-66b5-5717-a3e6-1d7074fd9447
tritici	5dd525c8-c2af-5019-a5ed-58dda6aa2838
argentea	665b721d-cd97-5937-a807-06ce82b74018
colebrookiae	453fbd01-d8f9-51e6-a926-7a88ac83b8c5
eburneus	bde7a422-4743-51b5-ba04-f62c80fc0a1c
wilsoniae	6abaf6b7-18bc-5ec6-8b2d-d08e89839ae7
naranjillo	882e407b-e4cd-5243-a0fe-0d761b195075
palmense	4d114143-04c0-50ea-bde1-d84dc2b9fb98
diadema	dd0f778e-5033-5022-b129-2f597963f4f7
macrops	24ab4980-90b1-53f6-912c-fdef8f4deaf2
nivosa	c36c8a0c-7393-5105-b2f1-c2b5016e91d8
decorata	ea242650-d8a7-509a-9830-c322886ec65d
nebulosus	d14294b9-3609-5fc5-92ea-6e23765e06b3
setaceus	48c4d1c7-ee20-5789-86e7-5673b0cf367f
sylverai	e1cb649a-698f-56aa-abd1-b5ea888a2983
pellucidum	7f6201cf-a5f9-5e6b-aae3-cf2b1f45810c
linearis	a0a386f9-93aa-51f0-8fb8-6a500ede1d9b
inflata	08c1cc22-914e-5942-b07b-4bd49740fac5
microcephala	a862d4a6-29d1-50b4-8c84-0f7a8bf302ae
tenuis	7b387bd5-69b6-5d38-b0d6-a9cd08ddefb4
inermis	1b1fc156-949c-5d62-8a69-51e5d6be4aec
esmeraldensis	7698563c-9adc-5857-87d5-c373284c3c02
maturini	79f60d30-11b1-50ef-b0dc-231da66c41db
wenmanensis	42291b11-cf33-5a5d-8bea-57463caaa05e
minor	2beeffa3-47ee-5fc1-8f7d-3635aaaf5007
heimi	345d80f2-b118-54d2-a7ba-6401613fd487
fragillima	b756ef5d-b905-59ba-8a7c-428c639bff02
terricola	2a424b5e-d4ce-53ac-9afb-ca68e1e6f2ea
