Kol	a74261ae-331a-5a58-a54a-009782523382
Hindák	a74261ae-331a-5a58-a54a-009782523382
Jordan	b7bf2a42-93d2-5a97-91a6-13e4298f5c17
Maslin	da86f5b9-2c04-560a-9ad8-24eba01ef626
Krapov.	82a913b4-e680-5746-892b-55ba0c52c5ed
W.	82a913b4-e680-5746-892b-55ba0c52c5ed
C.	82a913b4-e680-5746-892b-55ba0c52c5ed
Greg.	82a913b4-e680-5746-892b-55ba0c52c5ed
Philpott	73fb07cc-811c-5904-857a-8418d33a6142
Verity	49eed628-775b-50ea-a2cc-ad635259b40f
Evans	97c06a3b-b47e-57dc-b10b-664aabe385f7
Wehrli	45dbafe3-077e-5e8b-82dd-483418cfc2a8
Esper	c44dac78-e34d-55d0-8a27-332f2cf9e016
Meyrick	62042068-9ab5-51b8-84d1-b21b500ff54d
Dufay	9961e48d-d054-5fe7-8528-9c1b680fa138
Butler	a98b987d-a35d-5481-a304-8d46bf0cd50d
Cramer	4af7bf33-3713-5ea4-b682-a2f8d3da3404
Meyrick	1692a742-fe99-5652-b50f-aa61309df962
Turner	5c797625-337a-50a0-8597-c5a322e68464
Noyes	c810945f-1caa-5f4b-b4fc-8c9d9dea42f9
Hayat	7d9d8c55-88ef-5311-99f9-189c3b11b56d
Stepan'yants	05e7187b-c5f1-5642-aa3b-8645d099d38e
Caporiacco	7831e134-a88a-59e5-8e19-feb78a96cf92
Ribeiro	5b8f5c67-db70-5062-aaec-0eede19a988c
Topsent	5ef6ffeb-cf64-5c59-b467-980a01b937ca
Miklucho-Maclay	755cd635-074c-5807-9b25-cda3537beb91
Koehler	eed9d0c8-4185-559a-9751-907521f96a39
Püngeler	1fc73dd9-2657-5878-aba7-84341a424740
Ulbricht	3f07151a-655d-5b24-81d7-033fd0ddca5f
Horstmann	3f3f4467-45bf-583b-83dc-73bd28c16edb
Ashmead	d85d588c-6abc-5922-a080-de4598b3c3ba
Zuniga	9954a742-5457-5f0d-b830-6e918f2a2a4e
Linnaeus	45cba5e3-52db-5fc7-935f-1a902155beea
Daday	bd04a7da-e081-5936-86fe-b035ef3d3abe
Hayman	ed9e5736-0f51-54d9-8c08-23e42938121e
With	c04292ef-ea47-5edf-a99c-a83dd099ae97
Wheeler	5b59d34b-f0a2-54a4-bab4-1b075abeda6e
Benth.	41600e21-3d52-598f-ae37-87e9fdb1f6fd
L.	aa4fce89-fb27-50c3-a965-8fff9c66e2ff
N.	e9f30e51-335f-5813-b2bf-b662ca306868
Kitag.	e9f30e51-335f-5813-b2bf-b662ca306868
Wandolleck	fe5528c3-11d1-5acf-a69f-3f764fc831ae
Spach	cfc50858-b4b5-5c90-9395-2c6db69ab34a
Zabel	a37b2860-87db-5052-8ef2-83db63818d79
Dierb.	05968cb9-8fef-5a18-9e24-68eec028a37f
Linné	1392189f-eae9-508e-a4eb-6bb3b56aef8c
Burmeister	d6e9379d-07d0-5aa2-9731-4be56f4747e0
Ach.	abfc9386-91b0-50a4-b652-7f02d4efef86
J.	abfc9386-91b0-50a4-b652-7f02d4efef86
R.	abfc9386-91b0-50a4-b652-7f02d4efef86
Laundon	abfc9386-91b0-50a4-b652-7f02d4efef86
Werner	c44229ab-0f7d-511d-a5e6-16912c624003
Hale	44cafcb3-ebea-5789-b59b-f1f923228b74
Elix	44cafcb3-ebea-5789-b59b-f1f923228b74
Hale	44cafcb3-ebea-5789-b59b-f1f923228b74
Dieckmann	d49429a1-ed2a-514f-a2cc-48d721a708a5
Schoenherr	d226cd16-ba01-5df0-b7dd-7125a40b0b4a
Schoenherr	6f26c36f-305a-506e-92cc-817e43220341
Casey	c8ac0809-e73a-55c7-b2ce-1cf68a113ced
Olivier	cd142f92-abf8-530f-a81c-613e914eabc2
Budde-Lund	108e20bc-1365-52f8-9cb9-1f092c674508
Soest	782de2fc-1f76-5882-8079-003e29b91f7c
d'Orbigny	f023c5d0-c3cd-5173-a3bf-6493a313dc76
Phil.	99079ea9-829b-58d0-a4fd-04789794ad6b
Dehgan	84c0da2d-0ed5-5d49-8530-5a4f85ed2235
G.	84c0da2d-0ed5-5d49-8530-5a4f85ed2235
L.	84c0da2d-0ed5-5d49-8530-5a4f85ed2235
Webster	84c0da2d-0ed5-5d49-8530-5a4f85ed2235
Elmer	4ddf11c5-e3ab-5841-869b-966856367be3
Höhn.	5c95f318-1109-5b6a-862b-45d72619fc40
Lebert	a52b672b-6b9a-539d-aef1-8fe0af4b7b0f
Maire	a52b672b-6b9a-539d-aef1-8fe0af4b7b0f
Golubev	bb8971b7-e938-5e17-8b42-ea7198f3b8b2
Blagod.	bb8971b7-e938-5e17-8b42-ea7198f3b8b2
Suetin	bb8971b7-e938-5e17-8b42-ea7198f3b8b2
R.	bb8971b7-e938-5e17-8b42-ea7198f3b8b2
S.	bb8971b7-e938-5e17-8b42-ea7198f3b8b2
Trots.	bb8971b7-e938-5e17-8b42-ea7198f3b8b2
Kurtzman	bb8971b7-e938-5e17-8b42-ea7198f3b8b2
M.	bb8971b7-e938-5e17-8b42-ea7198f3b8b2
Suzuki	bb8971b7-e938-5e17-8b42-ea7198f3b8b2
Roberts	f6c45f92-5d7e-58a4-947b-1875b39f6dd0
Snow	d8d7327e-3473-5382-bbd9-8db48e30a173
Snyder	af3f69fe-4f9b-5a3d-9657-468d9e3385a4
Keyl	8039e624-2942-5d97-b7ba-99873047624d
Hendel	a37b5b96-212e-52c9-a1a5-f5a98201e6e2
Sasa	15d0a834-8628-5a4b-bfbd-1385b4fcc8f0
Suzuki	15d0a834-8628-5a4b-bfbd-1385b4fcc8f0
Sakai	15d0a834-8628-5a4b-bfbd-1385b4fcc8f0
Drayton	aeee5323-51ee-5e84-aa14-45b1ee604c35
Milne	aeee5323-51ee-5e84-aa14-45b1ee604c35
Edwards	aeee5323-51ee-5e84-aa14-45b1ee604c35
